model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.008315,0.091184,0.067488,0.048623,0.775778,0.775778
polynomial_regression,2,0.012306,0.105473,0.077967,0.057337,0.66814,0.668098
polynomial_regression,3,0.006942,0.083117,0.060864,0.044101,0.812811,0.812805
polynomial_regression,4,0.006955,0.081572,0.060988,0.046269,0.812642,0.812617
decision_tree_regression,2,0.010263,0.101301,0.075148,0.05054,0.723179,0.723179
decision_tree_regression,3,0.007894,0.088841,0.064211,0.046279,0.787139,0.787139
decision_tree_regression,4,0.006914,0.083146,0.059363,0.043048,0.813544,0.813544
decision_tree_regression,5,0.006165,0.078511,0.055372,0.039049,0.833748,0.833748
decision_tree_regression,6,0.00528,0.072656,0.050549,0.034652,0.857598,0.857598
decision_tree_regression,7,0.004352,0.065953,0.044651,0.028809,0.882625,0.882625
support_vector_regression,linear,0.008379,0.091531,0.068452,0.05033,0.774408,0.774052
support_vector_regression,poly,0.008472,0.092041,0.072143,0.06295,0.779448,0.771533
support_vector_regression,rbf,0.007921,0.088995,0.070681,0.061214,0.795072,0.786385
