model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.004547,0.067425,0.047053,0.033106,0.816001,0.816001
polynomial_regression,2,0.003683,0.060683,0.041229,0.026925,0.850916,0.850915
polynomial_regression,3,0.003304,0.057476,0.039677,0.026447,0.866252,0.866252
polynomial_regression,4,0.003079,0.0546,0.040884,0.031285,0.875446,0.875427
decision_tree_regression,2,0.005391,0.073411,0.052496,0.038173,0.781862,0.781862
decision_tree_regression,3,0.004261,0.065269,0.044785,0.029073,0.827564,0.827564
decision_tree_regression,4,0.003553,0.059601,0.040854,0.026008,0.856215,0.856215
decision_tree_regression,5,0.003063,0.055342,0.037736,0.023902,0.876031,0.876031
decision_tree_regression,6,0.002539,0.050385,0.034144,0.021928,0.897202,0.897202
decision_tree_regression,7,0.002023,0.044963,0.03003,0.01924,0.918126,0.918126
support_vector_regression,linear,0.00463,0.068037,0.048126,0.034921,0.812841,0.812633
support_vector_regression,poly,0.005064,0.071156,0.055342,0.046662,0.814013,0.795038
support_vector_regression,rbf,0.005214,0.072204,0.059432,0.056147,0.824929,0.788975
