model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005966,0.077236,0.053712,0.037477,0.770775,0.770775
polynomial_regression,2,0.00504,0.070987,0.048279,0.03268,0.806365,0.806365
polynomial_regression,3,0.004341,0.065883,0.044635,0.029652,0.83319,0.83319
polynomial_regression,4,0.002905,0.053795,0.036703,0.025625,0.888403,0.888403
decision_tree_regression,2,0.006852,0.082769,0.057785,0.035849,0.736779,0.736779
decision_tree_regression,3,0.00563,0.07503,0.051049,0.032865,0.783693,0.783693
decision_tree_regression,4,0.004814,0.069373,0.046557,0.029211,0.815076,0.815076
decision_tree_regression,5,0.00394,0.06276,0.042244,0.027311,0.848634,0.848634
decision_tree_regression,6,0.003337,0.057758,0.038584,0.024762,0.871782,0.871782
decision_tree_regression,7,0.002706,0.052003,0.034048,0.021063,0.896051,0.896051
support_vector_regression,linear,0.006119,0.078222,0.055445,0.040701,0.765158,0.764893
support_vector_regression,poly,0.006426,0.080154,0.063965,0.058697,0.77765,0.753067
support_vector_regression,rbf,0.006566,0.081027,0.065987,0.062016,0.776606,0.747707
