model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005058,0.071117,0.049665,0.033195,0.797821,0.797821
polynomial_regression,2,0.004372,0.066114,0.046277,0.031785,0.825236,0.825236
polynomial_regression,3,0.005623,0.074493,0.054583,0.040587,0.775162,0.775145
polynomial_regression,4,0.003807,0.060704,0.044599,0.033721,0.847891,0.847858
decision_tree_regression,2,0.006085,0.078001,0.055889,0.041184,0.756773,0.756773
decision_tree_regression,3,0.004874,0.069809,0.048924,0.032281,0.805169,0.805169
decision_tree_regression,4,0.004186,0.064691,0.044956,0.030086,0.83269,0.83269
decision_tree_regression,5,0.003538,0.059468,0.041507,0.028135,0.858606,0.858606
decision_tree_regression,6,0.003005,0.054813,0.03795,0.025673,0.879868,0.879868
decision_tree_regression,7,0.002506,0.050054,0.034081,0.022535,0.899813,0.899813
support_vector_regression,linear,0.005237,0.072364,0.051636,0.036597,0.792595,0.790668
support_vector_regression,poly,0.005626,0.075006,0.06015,0.054549,0.789298,0.775075
support_vector_regression,rbf,0.005419,0.073606,0.059268,0.052972,0.802461,0.783404
