model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005013,0.070798,0.049604,0.036256,0.791877,0.791877
polynomial_regression,2,0.003996,0.063211,0.041894,0.026391,0.834081,0.834081
polynomial_regression,3,0.003492,0.059077,0.039642,0.025162,0.855024,0.855024
polynomial_regression,4,0.002241,0.047337,0.032439,0.021543,0.906939,0.906939
decision_tree_regression,2,0.005746,0.075793,0.052876,0.039319,0.76149,0.76149
decision_tree_regression,3,0.004584,0.067698,0.045611,0.029742,0.809678,0.809678
decision_tree_regression,4,0.0038,0.061639,0.041072,0.025562,0.842222,0.842222
decision_tree_regression,5,0.003154,0.056148,0.037572,0.024022,0.86908,0.86908
decision_tree_regression,6,0.002623,0.051199,0.033966,0.022107,0.891131,0.891131
decision_tree_regression,7,0.002129,0.046128,0.029865,0.018981,0.911602,0.911602
support_vector_regression,linear,0.005143,0.071704,0.050505,0.036062,0.788416,0.786525
support_vector_regression,poly,0.005443,0.073768,0.056793,0.048735,0.783035,0.774025
support_vector_regression,rbf,0.005553,0.074507,0.060829,0.057008,0.808764,0.76946
