model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.005007,0.070746,0.042959,0.025449,0.736449,0.736449
polynomial_regression,2,0.004936,0.070234,0.042739,0.026327,0.740164,0.740159
polynomial_regression,3,0.005632,0.074674,0.050464,0.035646,0.703751,0.703728
polynomial_regression,4,0.003459,0.058099,0.038813,0.02715,0.817854,0.817835
decision_tree_regression,2,0.005949,0.077118,0.04976,0.028669,0.68683,0.68683
decision_tree_regression,3,0.005095,0.071365,0.04415,0.026426,0.731813,0.731813
decision_tree_regression,4,0.004524,0.067241,0.041473,0.024148,0.761911,0.761911
decision_tree_regression,5,0.003935,0.062706,0.038553,0.022592,0.792927,0.792927
decision_tree_regression,6,0.003296,0.057382,0.035287,0.020371,0.826535,0.826535
decision_tree_regression,7,0.002492,0.049865,0.030622,0.01729,0.86886,0.86886
support_vector_regression,linear,0.006069,0.077882,0.057808,0.050926,0.7103,0.68053
support_vector_regression,poly,0.00612,0.078215,0.057106,0.04824,0.691044,0.677866
support_vector_regression,rbf,0.00657,0.081042,0.061936,0.058988,0.692747,0.65413
