model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.008079,0.089873,0.060597,0.040347,0.685246,0.685246
polynomial_regression,2,0.007399,0.086006,0.057529,0.038699,0.711747,0.711747
polynomial_regression,3,0.006209,0.078784,0.054302,0.036077,0.758107,0.758107
polynomial_regression,4,0.003838,0.061942,0.042527,0.028994,0.850446,0.850446
decision_tree_regression,2,0.009431,0.097107,0.069132,0.04669,0.632563,0.632563
decision_tree_regression,3,0.008096,0.089966,0.062214,0.040567,0.684593,0.684593
decision_tree_regression,4,0.006963,0.083431,0.056926,0.038158,0.728724,0.728724
decision_tree_regression,5,0.006012,0.077521,0.052839,0.034523,0.765747,0.765747
decision_tree_regression,6,0.004998,0.070677,0.04783,0.031522,0.805243,0.805243
decision_tree_regression,7,0.003923,0.062596,0.042052,0.027596,0.847149,0.847149
support_vector_regression,linear,0.008398,0.091629,0.064461,0.047198,0.675358,0.672829
support_vector_regression,poly,0.008276,0.090958,0.067913,0.056656,0.687456,0.677583
support_vector_regression,rbf,0.0082,0.090545,0.068251,0.057299,0.692258,0.680514
