model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.003222,0.056761,0.041764,0.033092,0.900763,0.900763
polynomial_regression,2,0.001784,0.042231,0.02829,0.018171,0.94506,0.94506
polynomial_regression,3,0.001486,0.038531,0.025387,0.015886,0.954218,0.954218
polynomial_regression,4,0.001085,0.031962,0.022066,0.015006,0.966555,0.966554
decision_tree_regression,2,0.005082,0.071282,0.050952,0.036215,0.843486,0.843486
decision_tree_regression,3,0.003303,0.057468,0.037972,0.023621,0.898262,0.898262
decision_tree_regression,4,0.00219,0.046796,0.031586,0.02067,0.932537,0.932537
decision_tree_regression,5,0.001605,0.040063,0.027279,0.018398,0.95055,0.95055
decision_tree_regression,6,0.001144,0.033811,0.023134,0.015441,0.964777,0.964777
decision_tree_regression,7,0.000829,0.028792,0.019227,0.012386,0.974451,0.974451
support_vector_regression,linear,0.003561,0.059674,0.046172,0.037807,0.891068,0.890309
support_vector_regression,poly,0.003492,0.059088,0.046042,0.038237,0.899438,0.892429
support_vector_regression,rbf,0.003565,0.059701,0.049407,0.045488,0.919866,0.890177
