model_names,parameters,mse_score,rmse_score,mae_score,mdae_score,evs_score,r2_score
multiple_linear_regression,None,0.008584,0.092639,0.061582,0.040787,0.652665,0.652665
polynomial_regression,2,0.007794,0.088268,0.05745,0.038256,0.684657,0.684657
polynomial_regression,3,0.007981,0.088851,0.060085,0.04124,0.677062,0.677036
polynomial_regression,4,0.00593,0.075392,0.052768,0.039089,0.759738,0.759703
decision_tree_regression,2,0.010058,0.100279,0.069115,0.045786,0.593034,0.593034
decision_tree_regression,3,0.008789,0.093738,0.062873,0.042908,0.644364,0.644364
decision_tree_regression,4,0.007817,0.088402,0.058548,0.039333,0.683697,0.683697
decision_tree_regression,5,0.006655,0.081547,0.054107,0.03603,0.730823,0.730823
decision_tree_regression,6,0.005538,0.074383,0.0492,0.032265,0.775963,0.775963
decision_tree_regression,7,0.004414,0.066373,0.043102,0.027772,0.821424,0.821424
support_vector_regression,linear,0.00934,0.096631,0.07098,0.057374,0.633152,0.6221
support_vector_regression,poly,0.008884,0.09424,0.068567,0.059287,0.651993,0.640549
support_vector_regression,rbf,0.008948,0.094584,0.070624,0.062342,0.655811,0.637915
